,precision,recall,f1-score,support
0,0.16666666666666666,0.08333333333333333,0.1111111111111111,12.0
1,0.045454545454545456,0.07142857142857142,0.05555555555555555,14.0
2,0.027777777777777776,0.1,0.04347826086956522,10.0
3,0.0,0.0,0.0,10.0
4,0.08,0.08333333333333333,0.08163265306122448,24.0
5,0.05555555555555555,0.14285714285714285,0.08,7.0
6,0.09090909090909091,0.1,0.09523809523809525,10.0
7,0.18181818181818182,0.023529411764705882,0.041666666666666664,85.0
8,0.16666666666666666,0.125,0.14285714285714288,8.0
9,0.0,0.0,0.0,49.0
10,0.0,0.0,0.0,12.0
11,0.2,0.006578947368421052,0.012738853503184712,152.0
12,0.2,0.02564102564102564,0.045454545454545456,39.0
13,0.21739130434782608,0.23809523809523808,0.22727272727272724,21.0
14,0.0,0.0,0.0,5.0
15,0.02702702702702703,0.06666666666666667,0.038461538461538464,15.0
16,0.3076923076923077,0.18181818181818182,0.2285714285714286,22.0
17,0.0,0.0,0.0,5.0
18,0.2,0.08333333333333333,0.11764705882352941,12.0
19,0.0,0.0,0.0,16.0
20,0.11627906976744186,0.2631578947368421,0.16129032258064516,19.0
21,0.0,0.0,0.0,6.0
22,0.0,0.0,0.0,15.0
23,0.23076923076923078,0.23076923076923078,0.23076923076923078,13.0
24,0.0,0.0,0.0,11.0
25,0.0625,0.041666666666666664,0.05,24.0
26,0.10344827586206896,0.5,0.17142857142857143,6.0
27,0.0,0.0,0.0,11.0
28,0.030303030303030304,0.1111111111111111,0.047619047619047616,9.0
29,0.0,0.0,0.0,10.0
30,0.0425531914893617,0.15384615384615385,0.06666666666666667,13.0
31,0.0,0.0,0.0,3.0
32,0.0,0.0,0.0,9.0
33,0.08333333333333333,0.07692307692307693,0.08,13.0
34,0.05263157894736842,0.25,0.08695652173913043,4.0
35,0.07142857142857142,0.2,0.10526315789473682,15.0
36,0.0,0.0,0.0,8.0
37,0.0,0.0,0.0,7.0
38,0.0,0.0,0.0,12.0
39,0.3333333333333333,0.023255813953488372,0.04347826086956522,43.0
40,0.0,0.0,0.0,14.0
41,0.056338028169014086,0.2,0.08791208791208792,20.0
accuracy,0.05904059040590406,0.05904059040590406,0.05904059040590406,0.05904059040590406
macro avg,0.07499706588853333,0.08053202699158388,0.05840641678395232,813.0
weighted avg,0.12452785538259324,0.05904059040590406,0.05213272783314737,813.0
