,precision,recall,f1-score,support
0,0.5557710960232783,0.573,0.5642540620384047,1000.0
1,0.852589641434263,0.856,0.8542914171656687,1000.0
2,0.47481243301178994,0.443,0.45835488877392655,1000.0
3,0.5319567354965585,0.541,0.5364402578086267,1000.0
4,0.4720758693361433,0.448,0.45972293483837867,1000.0
5,0.7070707070707071,0.7,0.7035175879396985,1000.0
6,0.353121801432958,0.345,0.3490136570561457,1000.0
7,0.7308809293320426,0.755,0.7427447122479094,1000.0
8,0.590316573556797,0.634,0.6113789778206363,1000.0
9,0.8165322580645161,0.81,0.8132530120481928,1000.0
accuracy,0.6105,0.6105,0.6105,0.6105
macro avg,0.6085128044759054,0.6105,0.6092971507737588,10000.0
weighted avg,0.6085128044759054,0.6105,0.6092971507737588,10000.0
