,precision,recall,f1-score,support
0,0.49619771863117873,0.522,0.5087719298245614,1000.0
1,0.630418809698751,0.858,0.7268106734434562,1000.0
2,0.4350282485875706,0.385,0.4084880636604774,1000.0
3,0.5149051490514905,0.19,0.27757487216946675,1000.0
4,0.41065573770491803,0.501,0.45135135135135135,1000.0
5,0.6115765422696116,0.803,0.6943363597060095,1000.0
6,0.2961165048543689,0.305,0.3004926108374384,1000.0
7,0.6100502512562814,0.607,0.6085213032581452,1000.0
8,0.49266247379454925,0.235,0.31821259309410965,1000.0
9,0.4699537750385208,0.61,0.5308964316797214,1000.0
accuracy,0.5016,0.5016,0.5016,0.5016
macro avg,0.49675652108872403,0.5016,0.4825456189024738,10000.0
weighted avg,0.4967565210887241,0.5016,0.4825456189024737,10000.0
