,precision,recall,f1-score,support
0,0.49616648411829134,0.453,0.47360167276529014,1000.0
1,0.7310155535224153,0.799,0.7634973721930244,1000.0
2,0.4402439024390244,0.361,0.39670329670329674,1000.0
3,0.4561200923787529,0.395,0.4233654876741693,1000.0
4,0.38896457765667575,0.571,0.4627228525121556,1000.0
5,0.8377777777777777,0.754,0.7936842105263158,1000.0
6,0.2715909090909091,0.239,0.2542553191489362,1000.0
7,0.6744186046511628,0.725,0.6987951807228916,1000.0
8,0.47474747474747475,0.376,0.4196428571428571,1000.0
9,0.5641240569991618,0.673,0.6137710898312813,1000.0
accuracy,0.5346,0.5346,0.5346,0.5346
macro avg,0.5335169433381646,0.5346,0.5300039339220218,10000.0
weighted avg,0.5335169433381645,0.5346,0.5300039339220218,10000.0
