,precision,recall,f1-score,support
0,0.5836614173228346,0.593,0.5882936507936507,1000.0
1,0.8767720828789531,0.804,0.8388106416275432,1000.0
2,0.5286396181384249,0.443,0.4820457018498368,1000.0
3,0.533724340175953,0.546,0.5397923875432526,1000.0
4,0.45681381957773515,0.476,0.4662095984329089,1000.0
5,0.607232968881413,0.722,0.6596619460941069,1000.0
6,0.36695652173913046,0.211,0.267936507936508,1000.0
7,0.7343336275375111,0.832,0.7801218940459447,1000.0
8,0.5033962264150943,0.667,0.573763440860215,1000.0
9,0.8492569002123143,0.8,0.82389289392379,1000.0
accuracy,0.6094,0.6094,0.6094,0.6094
macro avg,0.6040787522879364,0.6093999999999999,0.6020528663107757,10000.0
weighted avg,0.6040787522879364,0.6094,0.6020528663107757,10000.0
