,precision,recall,f1-score,support
0,0.6421923474663909,0.621,0.6314184036603966,1000.0
1,0.8939554612937434,0.843,0.867730313947504,1000.0
2,0.5945241199478487,0.456,0.5161290322580645,1000.0
3,0.5756457564575646,0.624,0.598848368522073,1000.0
4,0.5168641750227895,0.567,0.5407725321888412,1000.0
5,0.6528791565287916,0.805,0.7210031347962383,1000.0
6,0.4105409153952843,0.296,0.34398605461940734,1000.0
7,0.7837078651685393,0.837,0.8094777562862668,1000.0
8,0.5970409051348999,0.686,0.6384364820846905,1000.0
9,0.8661174047373842,0.841,0.8533739218670724,1000.0
accuracy,0.6576,0.6576,0.6576,0.6576
macro avg,0.6533468107153236,0.6576,0.6521176000230555,10000.0
weighted avg,0.6533468107153236,0.6576,0.6521176000230554,10000.0
