,precision,recall,f1-score,support
0,0.6122650840751731,0.619,0.6156141223272004,1000.0
1,0.9080590238365494,0.8,0.8506113769271664,1000.0
2,0.5489130434782609,0.404,0.46543778801843316,1000.0
3,0.5480176211453744,0.622,0.5826697892271664,1000.0
4,0.45671378091872794,0.517,0.4849906191369606,1000.0
5,0.6652649285113541,0.791,0.722704431247145,1000.0
6,0.32717391304347826,0.301,0.31354166666666666,1000.0
7,0.7563025210084033,0.81,0.7822308063737325,1000.0
8,0.6292929292929293,0.623,0.6261306532663317,1000.0
9,0.8652406417112299,0.809,0.8361757105943153,1000.0
accuracy,0.6296,0.6296,0.6296,0.6296
macro avg,0.631724348702148,0.6296000000000002,0.6280106963785117,10000.0
weighted avg,0.6317243487021481,0.6296,0.6280106963785119,10000.0
