,precision,recall,f1-score,support
0,0.34995296331138287,0.372,0.36063984488608825,1000.0
1,0.7083333333333334,0.714,0.7111553784860558,1000.0
2,0.32649071358748777,0.334,0.33020266930301534,1000.0
3,0.2994350282485876,0.265,0.28116710875331563,1000.0
4,0.2752752752752753,0.275,0.2751375687843922,1000.0
5,0.6643835616438356,0.679,0.6716122650840751,1000.0
6,0.2431640625,0.249,0.24604743083003952,1000.0
7,0.5287009063444109,0.525,0.5268439538384345,1000.0
8,0.25925925925925924,0.245,0.25192802056555275,1000.0
9,0.3988439306358382,0.414,0.40628066732090284,1000.0
accuracy,0.4072,0.4072,0.4072,0.4072
macro avg,0.40538390341394104,0.4072,0.4061014907851872,10000.0
weighted avg,0.40538390341394104,0.4072,0.4061014907851872,10000.0
