,precision,recall,f1-score,support
0,0.35386119257087,0.362,0.3578843302026693,1000.0
1,0.6994818652849741,0.675,0.6870229007633588,1000.0
2,0.331,0.331,0.331,1000.0
3,0.2860103626943005,0.276,0.2809160305343512,1000.0
4,0.2694610778443114,0.27,0.26973026973026976,1000.0
5,0.6596758817921831,0.692,0.675451439726696,1000.0
6,0.2391304347826087,0.253,0.2458697764820214,1000.0
7,0.5534979423868313,0.538,0.5456389452332657,1000.0
8,0.2513255567338282,0.237,0.24395265054040147,1000.0
9,0.39589442815249265,0.405,0.4003954522985665,1000.0
accuracy,0.4039,0.4039,0.4039,0.4039
macro avg,0.40393387422424,0.40390000000000004,0.40378617955116003,10000.0
weighted avg,0.40393387422424004,0.4039,0.40378617955116003,10000.0
