,precision,recall,f1-score,support
0,0.0,0.0,0.0,1000.0
1,0.9137380191693291,0.572,0.7035670356703566,1000.0
2,0.5454545454545454,0.006,0.011869436201780416,1000.0
3,0.0,0.0,0.0,1000.0
4,0.0,0.0,0.0,1000.0
5,0.2984126984126984,0.094,0.1429657794676806,1000.0
6,0.5178571428571429,0.029,0.054924242424242424,1000.0
7,0.7581552305961755,0.674,0.7136050820539969,1000.0
8,0.13110782070265178,0.974,0.2311068928698541,1000.0
9,0.8189910979228486,0.552,0.6594982078853047,1000.0
accuracy,0.2901,0.2901,0.2901,0.2901
macro avg,0.3983716555115392,0.2901,0.2517536676573216,10000.0
weighted avg,0.39837165551153914,0.2901,0.25175366765732154,10000.0
