,precision,recall,f1-score,support
0,0.5369955156950673,0.479,0.5063424947145877,1000.0
1,0.902122641509434,0.765,0.827922077922078,1000.0
2,0.5087463556851312,0.349,0.4139976275207592,1000.0
3,0.47010119595216193,0.511,0.48969813128893147,1000.0
4,0.46882494004796166,0.391,0.42639040348964014,1000.0
5,0.676039119804401,0.553,0.6083608360836084,1000.0
6,0.21594202898550724,0.447,0.29120521172638436,1000.0
7,0.7546391752577319,0.732,0.7431472081218273,1000.0
8,0.5693181818181818,0.501,0.5329787234042553,1000.0
9,0.8240437158469945,0.754,0.7874673629242819,1000.0
accuracy,0.5482,0.5482,0.5482,0.5482
macro avg,0.5926772870602572,0.5482000000000001,0.5627510077196354,10000.0
weighted avg,0.5926772870602572,0.5482,0.5627510077196354,10000.0
